page,product_name,price_range,orders,company_name
https://www.aliexpress.com/category/200216607/tablet.html,CHUWI Hi10 Air Intel Quad Core Windows 10 Tablet 10.1 Inch 4GB RAM 64GB ROM 1 Tablet,US $157.71 - 197.13, Orders  (1169),CHUWI Official Store
https://www.aliexpress.com/category/200216607/tablet.html,Lonwalk 2019 10 inch 4G LTE Tablet PC Octa Core 4GB RAM 64GB ROM Android 7.0,US $84.47 - 105.59, Orders  (942),Tablets Android Store
https://www.aliexpress.com/category/200216607/tablet.html,CHUWI Hi9 Air MT6797 X23 10 Core Android 4GB RAM 64GB ROM 2560x1600 Display Tablet,US $159.99 - 169.99, Orders  (3731),CHUWI Official Store
https://www.aliexpress.com/category/200216607/tablet.html,CHUWI Hi9 Plus Deca Core Android 8.0 Tablet PC 2560x1600 Display 4GB RAM 64GB ROM,US $189.99 - 229.99, Orders  (2070),CHUWI Official Store
https://www.aliexpress.com/category/200216607/tablet.html,Apple iPad 2018 6th Generation 32G 9.7 Retina Display A10 Fusion Chip Facetime 8MP,US $369.00 - 509.00, Orders  (173),Global TopBrands Boutique Store
https://www.aliexpress.com/category/200216607/tablet.html,FENGXIANG 10.6 inch tablet PC 3G 4G LTE Android 8.0 Octa Core 6GB RAM 128GB tablet,US $69.55 - 211.25, Orders  (258),Shop3583006 Store
https://www.aliexpress.com/category/200216607/tablet.html,"Xiaomi Mi Pad 4 OTG MiPad 4 8"" PC Snapdragon 660 Octa Core 1920x1200 Tablet Android",US $164.99 - 245.99, Orders  (3600),Mi France Store
https://www.aliexpress.com/category/200216607/tablet.html,perkbox Super 10 inch tablet Android 8.0 Octa Core 4GB RAM 64GB ROM 8 Cores Screen,US $75.59 - 98.27, Orders  (1632),China Tablet Store
https://www.aliexpress.com/category/200216607/tablet.html,perkbox Android 8.0 OS 10 inch tablet pc Octa Core 4GB RAM 64GB ROM 8 Cores Screen,US $75.59 - 98.27, Orders  (56),China Tablet Store
https://www.aliexpress.com/category/200216607/tablet.html,FULCOL 2019 10 inch tablet PC 3G 4G LTE Android 7.0 Octa Core 4GB RAM 64GB ROM WiFi,US $71.44 - 90.24, Orders  (861),Top Tablets Store
https://www.aliexpress.com/category/200216607/tablet.html,BEESITTO 2019 10 inch tablet PC Octa Core 4GB RAM 64GB ROM Android 8.0 WiFi Bluetooth,US $72.96 - 92.64, Orders  (1497),Tablet Factory Store
https://www.aliexpress.com/category/200216607/tablet.html,Clearance!AOSON 4G LTE phone call ,US $66.63 - 69.48, Orders  (34),aoson Official Store
https://www.aliexpress.com/category/200216607/tablet.html, HD 8 inch SIM CARD GPS MTK8735B Quad-core IPS 800*1280 android 6.0 16GB,US $70.20 - 191.75, Orders  (269),Shop3583006 Store
https://www.aliexpress.com/category/200216607/tablet.html,FENGXIANG 2019 Google Play Android 8.0 OS 10.6 inch Octa Core 6GB 128GB Kids Tablets,US $169.99 - 201.49, Orders  (419),CHUWI Russian Store
https://www.aliexpress.com/category/200216607/tablet.html,CHUWI Hi10 Air tablet PC Windows10 Intel Cherry Quad Core 4GB RAM 64GB ROM 1 Tablet,US $305.99 - 339.99, Orders  (753),Hong Kong Goldway
https://www.aliexpress.com/category/200216607/tablet.html,Multi-language Xiaomi Mi 4 Plus 64GB/128GB Tablets 4 Snapdragon 1920x1200 Screen,US $13.26, Orders  (237),NewPhone Tablets Store
https://www.aliexpress.com/category/200216607/tablet.html,RUNNINGLION Tempered Glass Tablet PC 10 Inch 128GB Android 8.0 kids Tablets Octa Core,US $76.35 - 93.83, Orders  (2030),Peakier tablets Store
https://www.aliexpress.com/category/200216607/tablet.html,BEESITTO Android 7.0 10 inch tablet Octa Core 4GB RAM 64GB ROM Kids Tablets 10 10.1,US $76.54 - 95.74, Orders  (821),Teclast Global Store
https://www.aliexpress.com/category/200216607/tablet.html,Teclast T20 Fingerprint Tablet PC MT6797 X27 Deca Core 4GB 64GB 10.1 inch Android 7.0,US $194.17 - 199.51, Orders  (259),Tablets Android Store
https://www.aliexpress.com/category/200216607/tablet.html,Lonwalk Android 8.0 Octa Core 10 inch Tablet PC 4GB RAM 64GB ROM 5MP WIFI A-GPS,US $84.59 - 110.92, Orders  (4),E-Tablet&Laptop Store
https://www.aliexpress.com/category/200216607/tablet.html,CHUWI Hi9 Plus ,US $211.59, Orders  (82),XiaomiDirect Store
https://www.aliexpress.com/category/200216607/tablet.html,Xiaomi Mi Pad 4 Plus 4G Phablet 10.1 inch 4GB 64GB eMMC Facial Recognition Tablet,US $286.04 - 325.76, Orders  (499),ALLDOCUBE Official Store
https://www.aliexpress.com/category/200216607/tablet.html,ALLDOCUBE M5S 10.1 inch 4G LTE Phablet 10 Core Android 8.0 Tablets PC RAM 32GB ROM,US $126.29 - 129.33, Orders  (506),Tablet Factory Store
https://www.aliexpress.com/category/200216607/tablet.html,BEESITTO 2019 10 Inch Tablet PC 3G 4G LTE Octa Core 4GB RAM 64GB ROM Android 8.0,US $70.55 - 87.21, Orders  (2361),Xiaomi Mi Store
https://www.aliexpress.com/category/200216607/tablet.html,Multi-language Xiaomi Mi 4 Plus 64GB/128GB Tablets 4 Snapdragon 1920x1200 Screen,US $315.99 - 375.99, Orders  (578),Mi France Store
https://www.aliexpress.com/category/200216607/tablet.html,Xiaomi Mi Pad 4 MiPad 4 OTG 660 Octa Core Tablets PC 1920x1200 kids Tablet Android,US $8.63, Orders  (3970),"SHENZHEN BDF TOUCH TECHNOLOGY CO.,LTD."
https://www.aliexpress.com/category/200216607/tablet.html,BDF 10 inch Design 3G Phone Call Android 7.0 Quad Core 4G 32G Tablet pc WiFi,US $164.99 - 220.99, Orders  (68),"MC Computer accessories Technology Co., Ltd."
https://www.aliexpress.com/category/200216607/tablet.html,Alldocube M8 MT6797X Helio X27 Deca Core 8 inch 4G Tablet PC Android 8.0 RAM 32GB ROM,US $81.49 - 102.24, Orders  (125),LSKDZ555 Store
https://www.aliexpress.com/category/200216607/tablet.html,Super Tempered 2.5D Glass 10 inch ,US $113.39 - 125.99, Orders  (529),honyuda Store
https://www.aliexpress.com/category/200216607/tablet.html, Android 8.0 Octa Core 4GB RAM 128GB ROM 8 Cores 1280*800 IPS Screen ,US $83.96 - 104.96, Orders  (590),ShenZhen GO GO co Store
https://www.aliexpress.com/category/200216607/tablet.html, 10.1 + Gift,US $70.06 - 83.89, Orders  (53),"China Brands AE Technology Co., Ltd. "
https://www.aliexpress.com/category/200216607/tablet.html,CONGWEI 2019 10 inch Tablet PC Octa Core 4GB RAM 64GB ROM Android 8.0 10 10.1,US $72.14 - 77.28, Orders  (120),"Shenzhen Skyline Technology Co.,Ltd "
https://www.aliexpress.com/category/200216607/tablet.html,ZONNYOU 10.1 inches Tablet PC Android 7.0 Phone Call Octa -Core 4GB Ram 32GB Rom,US $289.33 - 328.83, Orders  (451),"Shenzhen HongyangTechnology Co., Ltd."
https://www.aliexpress.com/category/200216607/tablet.html,"Xiaomi Mi Pad 4 Plus Phablet 10.1"" MIUI 9 Snapdragon 660 4G 64G Facial Tablet PC",US $71.59 - 87.34, Orders  (215),ALLDOCUBE Official Store
https://www.aliexpress.com/category/200216607/tablet.html,BDF 8 inch Tablet Pc Phone Call Android 6.0 Quad Core 3G 4G LTE Mobile Screen,US $73.99 - 92.99, Orders  (321),Lontab Store
https://www.aliexpress.com/category/200216607/tablet.html,Noablecun 2019 10 inch Android 8.0 Octa Core 4GB RAM 64GB ROM 8 Cores Screen Tablets,US $172.71 - 210.78, Order  (1),"VskeeTechnology co., LTD Store Store"
https://www.aliexpress.com/category/200216607/tablet.html,"ALLDOCUBE 10.1"" Tablets PC iwork10 Pro Full View IPS 1920*1200 4GB RAM 64GB ROM",US $75.19 - 98.70, Orders  (62),honyuda Store
https://www.aliexpress.com/category/200216607/tablet.html,Lonwalk 10 inch 4G LTE Phone call Octa Core 4GB RAM 32GB ROM android 10.1 tablet PC,US $129.59 - 170.99, Orders  (453),Top Tablets Store
https://www.aliexpress.com/category/200216607/tablet.html,ZONNYOU 10 inch ,US $77.99 - 99.49, Orders  (252),Jumper official store
https://www.aliexpress.com/category/200216607/tablet.html, Android 8.0 10 Core 4GB RAM 64GB ROM Dual SIM Card ,US $74.39 - 89.59, Orders  (307),Hong Kong Goldway
https://www.aliexpress.com/category/200216607/tablet.html, 4G LTE Bluetooth WIFI Google Play ,US $209.83 - 307.04, Orders  (506),Xiaomi Online Store
https://www.aliexpress.com/category/200216607/tablet.html, PC,US $313.99 - 340.99, Orders  (769),BDF Official Store
https://www.aliexpress.com/category/200216607/tablet.html,"CONGWEI 2019 10 inch Tablet PC Octa Core 4GB RAM 128GB ROM Android 8.0 10 10.1""",US $13.26, Orders  (77),"Shenzhen Skyline Technology Co.,Ltd "
https://www.aliexpress.com/category/200216607/tablet.html,FULCOL 10 inch Tablet PC Octa Core 4GB RAM 64GB ROM 3G Bluetooth WiFi Android 8.0,US $315.99 - 355.99, Orders  (21),"Shenzhen Skyline Technology Co.,Ltd "
https://www.aliexpress.com/category/200216607/tablet.html,"Jumper EZpad 6s / 6 pro 2 in 1 tablet 11.6"" 1080P IPS tablets pc Apollo Lake N3450",US $62.00 - 68.20, Orders  (57),"MC Computer accessories Technology Co., Ltd."
https://www.aliexpress.com/category/200216607/tablet.html,Xiaomi Mi 4 Plus 64GB/128GB 4 Snapdragon 660 AIE CPU 10.1'' 16:10 Screen Tablet 13MP,US $74.06 - 107.80, Orders  (79),Voyo Official Store
https://www.aliexpress.com/category/200216607/tablet.html,"Xiaomi Mi Pad 4 Plus PC 10.1"" Snapdragon 660 Octa Core Face 1920x1080 Tablet Android",US $70.26 - 85.31, Orders  (146),BDF Official Store
https://www.aliexpress.com/category/200216607/tablet.html,BDF 10 inch 3G Phone Call SIM card Android 6.0 Quad Core CE WiFi FM 16GB Tablet Pc,US $130.19 - 154.99, Orders  (205),Lontab Store
