page,product_name,price_range,orders,company_name
https://www.aliexpress.com/category/200216607/tablet.html,Lonwalk 2019 10 inch 4G LTE Tablet PC Octa Core 4GB RAM 64GB ROM Android 7.0,US $84.47 - 105.59, Orders  (943),Tablets Android Store
https://www.aliexpress.com/category/200216607/tablet.html,CHUWI Hi10 Air Intel Quad Core Windows 10 Tablet 10.1 Inch 4GB RAM 64GB ROM 1 Tablet,US $157.71 - 197.13, Orders  (1172),CHUWI Official Store
https://www.aliexpress.com/category/200216607/tablet.html,"Xiaomi Mi Pad 4 OTG MiPad 4 8"" PC Snapdragon 660 Octa Core 1920x1200 Tablet Android",US $164.99 - 245.99, Orders  (3603),Mi France Store
https://www.aliexpress.com/category/200216607/tablet.html,FENGXIANG 10.6 inch tablet PC 3G 4G LTE Android 8.0 Octa Core 6GB RAM 128GB tablet,US $69.55 - 211.25, Orders  (258),Shop3583006 Store
https://www.aliexpress.com/category/200216607/tablet.html,RUNNINGLION Tempered Glass Tablet PC 10 Inch 128GB Android 8.0 kids Tablets Octa Core,US $76.35 - 93.83, Orders  (237),NewPhone Tablets Store
https://www.aliexpress.com/category/200216607/tablet.html,CHUWI Hi9 Air MT6797 X23 10 Core Android 4GB RAM 64GB ROM 2560x1600 Display Tablet,US $159.99 - 169.99, Orders  (3731),CHUWI Official Store
https://www.aliexpress.com/category/200216607/tablet.html,BEESITTO 2019 10 inch tablet PC Octa Core 4GB RAM 64GB ROM Android 8.0 WiFi Bluetooth,US $72.96 - 92.64, Orders  (1497),Tablet Factory Store
https://www.aliexpress.com/category/200216607/tablet.html,Apple iPad 2018 6th Generation 32G 9.7 Retina Display A10 Fusion Chip Facetime 8MP,US $369.00 - 509.00, Orders  (173),Global TopBrands Boutique Store
https://www.aliexpress.com/category/200216607/tablet.html,CHUWI Hi9 Plus Deca Core Android 8.0 Tablet PC 2560x1600 Display 4GB RAM 64GB ROM,US $189.99 - 229.99, Orders  (2071),CHUWI Official Store
https://www.aliexpress.com/category/200216607/tablet.html,BEESITTO Android 7.0 10 inch tablet Octa Core 4GB RAM 64GB ROM Kids Tablets 10 10.1,US $76.54 - 95.74, Orders  (2030),Peakier tablets Store
